topic,topic_desc,topic_desc_basic,knowledge_class,knowledge_class_basic,aliases,tags
Hounds,,"The Hounds are the most powerful gang in The Swamp and the main growers of hemp, which is used to make hashish, a narcotic illegal in the major nations. Their leader Big Grim is known for being both crazy and clever enough to control the swamp hierarchy. They operate out of Shark and the village of Rot, and will offer protection to those who build bases in The Swamp in exchange for payment or loyalty.",,,Hounds,"Factions, Hounds, Swamp Gangs, Swamps"
Howler Maze,,"The Howler Maze is an uninhabited island connected to the mainland by land bridges, located between Heng and Gut. It is dominated by crabs and scattered with ancient ruins, with occasional escaped slaves wandering through from nearby UC territory. The island experiences acid rain and features what appears to be a crater or old volcano caldera on its southern side.",,,"Howler Maze, Howler_Maze",Zones
Human,,"Humans are the most common race in the world, divided into Greenlanders and Scorchlanders. Greenlanders resemble typical humans with balanced abilities, while Scorchlanders have darker skin, glowing eyes, and silvery hair with natural talent in crafting and agility. Humanity's origins stretch back to an ancient, technologically advanced First Empire, though most people today know little of their own history.",,,Human,Races
Hundred Guardian,,"Hundred Guardians are the elite soldiers of the Shek Kingdom, representing the top one hundred fighters in their society. They patrol the lands, guard major cities like Admag and Squin, and serve as law enforcement within Shek territory. These warriors are neutral but disdainful toward humans, calling them flatskins, and will attack those allied with the Holy Nation. If allied with the Shek Kingdom, wandering Hundred Guardians can be hired temporarily as bodyguards or outpost guards.",,,"Hundred Guardian, Hundred_Guardian","Bodyguards, Characters, Shek Kingdom"
Hydraulic Knight,,"Hydraulic Knights are skeletal warriors from the Second Empire who guard Ashland Dome III. They wear ancient samurai armor and carry nodachi blades forged by skilled skeleton smiths. Five of these mechanical sentinels remain in the dome, standing as remnants of a long-fallen empire.",,,"Hydraulic Knight, Hydraulic_Knight",Characters
Hydroponics,,"Hydroponics are advanced indoor farming structures that allow crops to grow anywhere, regardless of the local environment or soil quality. They require water and electrical power to function, and can cultivate greenfruit, hemp, riceweed, and wheatstraw even in barren or toxic zones. These farms are built with iron plates, electrical components, and seeds of the crop to be grown.",,,Hydroponics,"Buildings, Farming"
Idad,,"Idad was an author who wrote several books about ancient history, legends, and cultural evolution. Based on the scholarly nature of these works, Idad was likely a Machinist. Idad's current whereabouts or fate remain unknown.",,,Idad,"Characters, Lore"
Inquisitor,,"Inquisitors are elite law enforcers and commanding generals of the Holy Nation who run the Inquisitoriums and lead the Holy Army. They seek out heretics of Okran, oversee town police stations, handle prisoners and confiscated goods, and command patrols of Paladins. Inquisitors are powerful warriors who rank among the highest in the Holy Nation, with High Inquisitors serving directly under the Holy Phoenix. They only deal with human males and are dismissive of women and non-humans.",,,Inquisitor,"Characters, Holy Nation, Inquisitors"
Iron HQ,,"Iron HQ is an outpost in The Crags that serves as the headquarters of the Skeleton Bandits, led by Elder. The settlement consists of wallhouses and a central lab where Elder resides. Skeleton visitors have an easier time negotiating with Elder than humans, as the bandits are generally hostile to non-skeletons.",,,"Iron HQ, Iron_HQ","Article stubs, Locations"
Iron Spider,,"Iron Spiders are old robotic creatures that roam regions like the Floodlands, Deadlands, and The Iron Trail. They are weaker than Security Spiders and attack living things on sight with maiming weapons that can cause fatal bleeding. Many broken Iron Spiders litter these areas, making it hard to tell which ones are still active.",,,"Iron Spider, Iron_Spider","Animals, Characters"
Iron Valleys,,"Iron Valleys is a harsh region north of the Deadlands, constantly battered by acid rain and filled with rocky valleys that make travel difficult. The acidic water and partially acidic ground harm those without protection, and Iron Spiders patrol the area. There are no major towns here, only scattered ruins and ancient outposts.",,,"Iron Valleys, Iron_Valleys","WIP, Zones"
Island Lab,,Island Lab is an old Ancient Lab located in Fishman Island. The King Gurgler can be found at this ruined site.,,,"Island Lab, Island_Lab","Article stubs, Locations"
Islands of None,,"The Islands of None are a remote cluster of small islands east of Howler Maze, accessible only by swimming through shallow waters. The land is sparse and mostly unsuitable for settlement, though two northeastern islands have enough resources for a basic outpost. Lone crabs wander the area, but otherwise the islands are empty and undisturbed.",,,"Islands of None, Islands_of_None","WIP, Zones"
Iyo,,"Iyo is a Skeleton who serves as second in command of the Machinists faction, working as Finch's assistant at the Science HQ in World's End. They hold diplomatic status and are known as an author of many Tech Hunter's Notes. Visitors can speak with Iyo to learn about the Science HQ and its work.",,,Iyo,"Characters, Unique"
Jitte,,"The Jitte is a professional law-enforcement weapon designed for non-lethal takedowns. It features a sword-catcher guard that helps with defense and works well in tight indoor spaces. This blunt weapon is meant to subdue targets without killing them, making it useful for capturing bandits alive.",,,Jitte,"Blunt, Weapons"
Junkbow,,"It fires bolts and is known for being carried by Dust Bandit bowmen. Despite its low quality, it can be crafted by anyone with basic crossbow-making knowledge.",,,Junkbow,Crossbows
KLR Series Arm (left),,"The KLR Series Arm is a durable replacement limb for Skeletons who have lost their left arm. It requires advanced technology and AI Cores to craft, and can sometimes be found among ancient artifacts. A matching right arm version also exists.",,,"KLR Series Arm (left), KLR_Series_Arm_(left), KLR Series Arm left",Robot Limbs
KLR Series Arm (right),,The KLR Series Arm is a durable replacement limb for skeletons who have lost their right arm. It is crafted using AI Cores and represents advanced technology. These arms can sometimes be found as ancient artifacts in the world.,,,"KLR Series Arm (right), KLR_Series_Arm_(right), KLR Series Arm right",Robot Limbs
KLR Series Leg (left),,The KLR Series Leg is an advanced high-tech robotic leg replacement used by skeletons. These durable limbs are sophisticated pieces of technology that can sometimes be found among ancient ruins and artifacts. They represent the kind of advanced engineering that skeletons possess naturally.,,,"KLR Series Leg (left), KLR_Series_Leg_(left), KLR Series Leg left",Robot Limbs
KLR Series Leg (right),,"The KLR Series Leg is an advanced robotic replacement limb for skeletons, similar to what ancient skeletons naturally possess. These high-tech legs are extra durable and represent some of the finest prosthetic technology available. They can sometimes be found among ancient ruins and artifacts.",,,"KLR Series Leg (right), KLR_Series_Leg_(right), KLR Series Leg right",Robot Limbs
Karuta Zukin,,The Karuta Zukin is a chainmail coif with leather trim and steel plate reinforcement along the sides. It is commonly worn by bounty hunters and certain guards across various factions. The name refers to traditional headgear worn in some regions.,,,"Karuta Zukin, Karuta_Zukin","Armour, Headgear, Medium Armour"
King,,King is a unique Crimper of the Southern Hive who roams the Royal Valley with his Droneguard escorts. He is known to devour prisoners held by the Southern Hive and will lead a rescue assault if the Queen is kidnapped. King is exceptionally powerful when encountered in his home territory but becomes much weaker when spawned during rescue raids.,,,King,"Animals, Bosses, Characters, Southern Hive, Unique"
King Gorillo,,"King Gorillo is a giant black gorillo found in the Crumbling Labs within Stobe's Gamble. It is a unique creature that appears only once in that location. Unlike some other legendary beasts, there is no special bounty for killing it, only whatever loot is found in the lab itself.",,,"King Gorillo, King_Gorillo","Animals, Characters, Unique"
